S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
40,Amrawati Region,Yawatmal,6296,619,2094,367,207,0,104,0,619,1,6,4,1,2,0,84,0,59,102,334,380,0
41,Amrawati Region,Akola,7355,627,2745,551,233,0,302,0,989,0,3,5,0,0,0,57,0,70,118,383,297,9
42,Amrawati Region,Washim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Nagpur(U) Region,Nagpur,20758,7868,14235,3872,669,3,96,0,549,259,15,1,52,14,0,436,19,571,160,308,265,27
44,Nagpur(U) Region,Wardha,2708,454,1112,94,102,0,8,0,270,0,2,1,1,1,0,25,0,29,53,114,142,1
45,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur(R) Region,Nagpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Nagpur(R) Region,Gadchiroli,1826,80,256,49,37,0,26,0,3,0,1,0,0,2,0,0,0,20,4,116,96,0
48,Nagpur(R) Region,Chandrapur,7119,1108,1815,424,207,0,16,0,26,0,10,0,0,11,0,256,1,116,76,299,262,11
49,Nagpur(R) Region,Gondia,4630,675,1630,280,119,0,13,0,10,2,0,1,5,0,0,47,2,27,23,326,283,0
50,Nagpur(R) Region,Bhandara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
