S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
24,Nashik Region,Srirampur,20271,2182,475,1766,608,0,72,38,489,0,5,14,0,6,0,109,8,421,669,1423,712,280
25,Nashik Region,Malegaon,16239,759,40,1297,195,0,84,17,790,0,22,4,0,1,0,112,1,598,117,2333,1902,1
26,Dhule Region,Dhule,9186,1635,805,1248,330,0,63,38,444,0,30,2,4,9,63,371,28,162,290,816,541,40
27,Dhule Region,Jalgaon,22034,1735,578,1612,267,0,51,36,1402,26,19,15,1,33,0,237,16,65,715,1522,893,62
28,Dhule Region,Nandurbar,5714,831,242,747,264,281,4,1,3,0,6,0,0,0,0,21,0,77,156,697,389,0
29,Aurangabad Region,Aurangabad,35487,2192,0,1879,456,0,0,0,778,676,79,51,104,20,0,393,37,660,1616,918,451,0
30,Aurangabad Region,Jalna,10873,209,338,861,294,0,0,2,437,0,2,3,0,2,0,36,7,66,364,701,299,29
31,Aurangabad Region,Beed,4479,70,478,241,421,0,0,0,489,0,0,0,0,0,0,52,2,132,645,373,140,0
32,Latur Region,Latur,10176,1721,1517,1439,426,0,62,34,413,0,4,9,4,4,0,137,4,169,369,436,249,52
33,Latur Region,Osmanabad,7177,750,214,447,194,0,0,34,235,0,0,4,0,3,0,162,0,209,73,513,216,79
34,Latur Region,Ambejogai,5439,0,107,457,149,0,0,4,536,0,0,4,0,0,8,49,0,7,209,248,170,5
35,Nanded Region,Nanded,13725,1047,1951,1327,616,0,0,100,2296,0,19,7,6,7,0,229,2,105,566,423,296,7
36,Nanded Region,Parbhani,9511,247,160,579,322,0,2,5,861,0,0,7,0,4,56,201,3,25,230,474,203,12
37,Nanded Region,Hingoli,4821,0,19,265,118,0,0,1,333,0,3,0,3,0,0,17,0,71,91,318,134,7
38,Amrawati Region,Amrawati,19662,1467,1795,1820,232,0,0,10,571,2,22,8,1,66,0,295,0,290,68,643,374,16
39,Amrawati Region,Buldhana,9990,595,940,409,304,0,0,5,1110,0,0,12,0,24,0,76,1,330,183,870,474,11
40,Amrawati Region,Yawatmal,12718,3901,1504,1234,342,0,0,16,794,0,13,16,9,9,0,128,0,277,156,596,445,0
41,Amrawati Region,Akola,10877,4363,99,1427,98,0,0,33,681,0,4,15,0,39,0,100,1,332,165,627,446,20
42,Amrawati Region,Washim,5491,614,122,326,154,0,0,4,603,0,1,6,0,13,0,5,3,111,94,416,293,1
43,Nagpur[U] Region,Nagpur,29256,17971,10975,8559,2677,0,0,276,810,78,142,148,38,113,18,734,474,838,341,142,140,16
44,Nagpur[U] Region,Wardha,6710,0,2507,489,226,0,0,49,492,1,5,6,5,8,1,59,1,171,145,326,194,27
45,Nagpur[U] Region,Nagpur[East],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur[R] Region,Nagpur,14133,2840,3883,1072,751,0,0,60,461,301,33,24,0,11,54,319,6,471,76,912,267,59
47,Nagpur[R] Region,Gadchiroli,3946,750,46,211,45,0,0,12,68,0,6,3,0,15,0,12,2,50,14,330,134,0
48,Nagpur[R] Region,Chandrapur,13528,1928,1781,1968,265,3,61,45,361,0,19,23,3,34,78,420,17,360,52,657,349,60
49,Nagpur[R] Region,Gondia,8551,704,192,494,143,0,30,8,143,0,10,0,0,19,0,52,0,127,14,330,230,11
50,Nagpur[R] Region,Bhandara,6083,1476,455,406,80,0,0,34,64,0,6,2,0,1,0,39,1,100,20,484,188,5
