S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
26,Dhule Region,Dhule,5538,33,1402,378,143,0,189,0,136,0,1,1,0,1,0,310,7,99,188,179,148,6
27,Dhule Region,Jalgaon,16073,113,2612,994,235,0,206,0,1276,0,5,2,1,17,0,338,12,232,390,544,501,4
28,Dhule Region,Nandurbar,2776,25,254,149,87,0,86,0,67,0,0,0,0,0,0,35,0,35,32,111,149,0
29,Aurangabad Region,Aurangabad,17332,1864,104,1903,541,0,0,0,2541,535,0,11,3,7,0,336,27,395,541,352,21,0
30,Aurangabad Region,Jalna,6261,123,331,264,251,0,0,0,136,0,0,0,2,1,0,67,0,111,155,292,162,0
31,Aurangabad Region,Beed,5461,26,606,262,357,0,0,0,328,0,0,0,5,0,0,98,0,158,185,262,194,0
32,Latur Region,Latur,4833,38,907,412,171,0,116,0,621,0,2,4,0,2,0,47,0,105,422,201,144,0
33,Latur Region,Osmanabad,2777,8,178,108,63,0,25,0,414,0,0,0,0,0,0,25,0,45,98,179,135,0
34,Latur Region,Ambejogai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Nanded Region,Nanded,6382,258,455,447,381,0,0,0,1735,0,0,0,1,0,0,206,0,55,6,77,83,0
36,Nanded Region,Parbhani,3391,14,474,200,139,0,0,0,465,0,0,0,0,0,0,74,0,42,12,105,61,0
37,Nanded Region,Hingoli,2081,3,173,95,97,0,0,0,195,0,0,0,4,1,0,9,2,106,12,128,106,0
38,Amrawati Region,Amrawati,9158,565,4305,741,207,0,119,0,859,2,8,0,5,9,0,92,0,56,253,191,56,3
39,Amrawati Region,Buldhana,7779,48,1114,260,167,0,222,0,794,0,1,0,1,3,0,68,0,88,230,168,128,0
40,Amrawati Region,Yawatmal,6280,787,1415,349,145,0,216,0,808,0,0,0,0,2,0,106,0,51,160,126,106,2
41,Amrawati Region,Akola,6037,665,2322,420,90,2,89,0,767,0,0,0,1,2,0,114,0,98,255,108,71,21
42,Amrawati Region,Washim,2769,64,316,148,68,0,62,0,531,0,1,0,0,2,0,22,0,25,89,153,143,2
43,Nagpur[U] Region,Nagpur,34265,5871,14261,3767,498,0,155,0,422,0,4,32,216,9,0,825,33,515,686,137,112,119
44,Nagpur[U] Region,Wardha,3643,729,1309,119,72,0,9,0,242,0,0,0,0,1,0,19,0,24,103,58,67,0
45,Nagpur[U] Region,Nagpur[East],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur[R] Region,Nagpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Nagpur[R] Region,Gadchiroli,1943,195,28,48,55,0,39,0,13,0,0,0,1,3,0,2,0,14,3,43,41,0
48,Nagpur[R] Region,Chandrapur,10183,255,2309,719,198,0,97,0,364,0,3,0,3,8,0,504,0,120,169,155,112,16
49,Nagpur[R] Region,Gondia,3257,92,604,124,34,0,42,0,22,0,0,0,0,0,0,28,0,20,22,64,58,0
50,Nagpur[R] Region,Bhandara,4227,69,985,175,25,0,49,0,83,0,1,2,0,2,0,13,0,24,36,182,146,0
