S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
33,Latur Region,O'smanbad,4868,17,61,182,82,0,47,0,316,0,2,3,0,2,0,89,4,119,144,366,116,21
34,Latur Region,A'mbejogai,2718,3,170,202,152,0,0,0,393,0,0,0,0,0,0,107,0,61,185,233,51,0
35,Nanded Region,Nanded,7608,55,731,584,192,0,16,0,887,0,6,0,0,1,0,248,4,88,295,196,84,0
36,Nanded Region,Parbhani,4776,41,253,268,135,0,30,0,295,0,3,1,0,2,30,99,1,43,213,269,83,2
37,Nanded Region,Hingoli,2482,0,4,129,47,0,3,0,166,0,5,0,0,1,0,7,2,57,70,201,163,2
38,Amravati Region,Amaravati,12706,987,2455,951,94,0,32,0,561,8,20,2,0,7,0,177,5,160,218,262,122,6
39,Amravati Region,Buldhana,7081,122,710,321,154,3,65,0,796,2,0,8,0,5,0,185,4,165,217,389,170,11
40,Amravati Region,Y'watmal,,654,1461,550,105,0,27,0,682,0,20,4,1,4,14,131,5,185,156,350,167,1
41,Amravati Region,Akola,,714,1398,617,179,0,91,0,458,3,4,7,1,3,0,74,0,124,117,128,53,6
42,Amravati Region,Washim,3040,95,355,181,62,0,9,0,268,0,7,0,0,3,0,28,1,80,64,191,99,0
43,Nagpur[U] Region,Nagpur,24898,9377,11636,5353,1804,133,164,0,371,0,46,21,10,16,20,690,7,342,442,37,12,254
44,Nagpur[U] Region,Wardha,7248,95,1285,284,73,0,1,0,267,0,5,0,0,1,0,44,0,139,122,234,103,3
45,Nagpur[U] Region,Nagpur (East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur[R] Region,Nagpur Rural,7471,4383,3648,541,85,0,38,0,313,37,10,24,1,8,9,439,6,286,172,465,140,5
47,Nagpur[R] Region,Gadchiroli,2397,259,10,114,50,0,2,0,107,0,5,1,7,3,0,10,0,27,14,134,84,0
48,Nagpur[R] Region,Chandrapur,10794,1028,1913,1043,156,0,37,0,714,0,11,15,5,8,6,588,3,290,146,398,176,16
49,Nagpur[R] Region,Gondia,5070,378,539,219,62,0,0,0,74,0,6,6,3,7,0,50,20,80,23,188,109,2
50,Nagpur[R] Region,Bhandara,4957,0,836,263,44,0,6,0,159,0,3,3,18,4,33,65,3,89,64,416,206,1
