S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
19,Pune Region,Pimpri-Chinchwad,31222,3553,2734,5247,836,0,861,,335,118,169,0,35,15,0,636,5,787,1053,272,67,55
20,Pune Region,Baramati,8490,225,156,430,151,0,19,,104,0,15,0,18,2,0,199,4,434,257,261,175,8
21,Pune Region,Akluj,4754,0,0,296,40,0,22,,37,0,0,0,0,3,0,38,0,240,38,148,53,42
22,Nashik Region,Nashik,31754,4063,1798,3471,1062,0,36,,669,0,14,21,9,53,2,189,23,1438,330,1049,77,31
23,Nashik Region,Ahmednagar,16196,1010,1075,865,381,0,60,,157,25,3,5,6,21,19,182,23,389,376,242,148,188
24,Nashik Region,Srirampur,14624,223,1871,715,231,0,171,,224,1,0,6,3,6,0,137,15,344,604,460,218,33
25,Nashik Region,Malegaon,9324,2,113,657,48,1,68,,543,0,9,7,4,1,0,107,7,323,221,626,425,8
26,Dhule Region,Dhule,6283,257,933,888,181,1,215,,492,1,4,3,28,6,0,491,0,168,271,390,277,1
27,Dhule Region,Jalgaon,21442,2073,1107,1286,413,16,228,,329,0,7,5,710,57,0,296,9,124,717,613,403,29
28,Dhule Region,Nandurbar,4689,45,674,227,161,0,14,,48,0,9,1,0,2,0,88,9,76,171,781,544,78
29,Aurangabad Region,Aurangabad,23911,3158,17,1740,394,1,0,,1371,621,25,1,9,19,0,78,10,302,607,564,505,20
30,Aurangabad Region,Jalna,7263,392,94,364,270,0,0,,98,0,0,7,2,0,0,59,1,67,205,393,191,2
31,Aurangabad Region,Beed,4676,20,327,295,447,0,0,,188,0,2,0,2,0,0,35,0,56,125,118,72,1
32,Latur Region,Latur,6220,204,921,581,300,0,64,,380,0,6,0,0,1,5,71,0,331,72,255,75,6
33,Latur Region,Osmanabad,3375,1,169,175,132,0,77,,327,0,2,1,1,1,0,43,4,65,149,79,56,19
34,Latur Region,Ambejogai,1329,7,75,91,86,0,0,,108,0,0,0,0,0,0,29,3,11,95,77,11,0
35,Nanded Region,Nanded,7640,115,667,425,332,0,33,,940,0,0,0,0,0,0,153,1,80,150,168,100,0
36,Nanded Region,Parbhani,4732,15,426,234,194,2,55,,266,0,0,0,0,11,3,41,1,47,92,152,73,0
37,Nanded Region,Hingoli,1926,13,81,112,88,0,5,,135,7,0,0,0,8,0,2,0,80,53,179,86,0
38,Amrawati Region,Amrawati,12189,1712,2495,980,167,0,60,,841,5,30,3,0,23,0,130,4,94,244,281,131,6
39,Amrawati Region,Buldhana,9218,150,1075,314,160,0,179,,521,0,0,20,8,8,0,68,5,59,223,411,179,4
40,Amrawati Region,Yawatmal,7039,599,1276,520,175,0,47,,653,0,8,1,0,10,1,76,0,97,182,162,82,3
41,Amrawati Region,Akola,6888,778,1544,657,97,0,70,,396,4,6,3,4,15,0,76,5,76,184,104,47,1
42,Amrawati Region,Washim,2918,47,397,185,78,0,18,,269,0,1,6,0,12,0,12,3,18,82,150,64,2
43,Nagpur[U] Region,Nagpur,23196,4773,11119,4612,1057,0,27,,397,0,15,33,135,10,180,673,1,402,427,24,16,15
44,Nagpur[U] Region,Wardha,5519,668,1310,226,121,0,2,,96,0,2,1,2,1,0,14,3,57,106,126,78,1
45,Nagpur[U] Region,Nagpur[East],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur[R] Region,Nagpur,8140,969,2504,390,121,0,40,,150,0,3,2,63,3,33,268,1,263,213,344,143,8
47,Nagpur[R] Region,Gadchiroli,2193,231,117,100,51,0,19,,63,0,0,0,7,16,0,19,0,20,4,41,25,0
48,Nagpur[R] Region,Chandrapur,12042,1186,1999,905,449,0,52,,240,0,4,4,5,21,16,531,0,191,221,310,153,18
49,Nagpur[R] Region,Gondia,5725,158,297,269,77,0,15,,56,0,2,1,0,1,4,52,0,38,22,147,109,0
50,Nagpur[R] Region,Bhandara,4541,15,646,171,39,0,10,,59,0,2,0,2,21,7,23,0,33,35,239,140,0
